PERSON_ID;FIRST_NAME;LAST_NAME;DISPLAY_FIRST_LAST;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;PLAYER_SLUG;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;GAMES_PLAYED_CURRENT_SEASON_FLAG;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;NBA_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER;GREATEST_75_FLAG;clean_name;Salary
1630173;Precious;Achiuwa;Precious Achiuwa;Achiuwa, Precious;P. Achiuwa;precious-achiuwa;1999-09-19T00:00:00;Memphis;Nigeria;Memphis/Nigeria;06. Aug;243.0;4;5.0;Forward;Active;Y;1610612752;Knicks;NYK;knicks;New York;precious_achiuwa;2020;2024;N;Y;Y;2020;1;20;N;preciousachiuwa;4379527.0
203500;Steven;Adams;Steven Adams;Adams, Steven;S. Adams;steven-adams;1993-07-20T00:00:00;Pittsburgh;New Zealand;Pittsburgh/New Zealand;06. Nov;265.0;10;12.0;Center;Active;Y;1610612745;Rockets;HOU;rockets;Houston;steven_adams;2013;2024;N;Y;Y;2013;1;12;N;stevenadams;12600000.0
1628389;Bam;Adebayo;Bam Adebayo;Adebayo, Bam;B. Adebayo;bam-adebayo;1997-07-18T00:00:00;Kentucky;USA;Kentucky/USA;06. Sep;255.0;7;13.0;Center-Forward;Active;Y;1610612748;Heat;MIA;heat;Miami;bam_adebayo;2017;2024;N;Y;Y;2017;1;14;N;bamadebayo;32600060.0
1630534;Ochai;Agbaji;Ochai Agbaji;Agbaji, Ochai;O. Agbaji;ochai-agbaji;2000-04-20T00:00:00;Kansas;USA;Kansas/USA;06. Mai;215.0;2;30.0;Guard;Active;Y;1610612761;Raptors;TOR;raptors;Toronto;ochai_agbaji;2022;2024;Y;Y;Y;2022;1;14;N;ochaiagbaji;4114200.0
1630583;Santi;Aldama;Santi Aldama;Aldama, Santi;S. Aldama;santi-aldama;2001-01-10T00:00:00;Loyola-Maryland;Spain;Loyola-Maryland/Spain;7-0;215.0;3;7.0;Forward-Center;Active;Y;1610612763;Grizzlies;MEM;grizzlies;Memphis;santi_aldama;2021;2024;Y;Y;Y;2021;1;30;N;santialdama;2194200.0
1641725;Trey;Alexander;Trey Alexander;Alexander, Trey;T. Alexander;trey-alexander;2003-05-02T00:00:00;Creighton;USA;Creighton/USA;06. Apr;185.0;0;23.0;Guard;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;trey_alexander;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;treyalexander;
1629638;Nickeil;Alexander-Walker;Nickeil Alexander-Walker;Alexander-Walker, Nickeil;N. Alexander-Walker;nickeil-alexander-walker;1998-09-02T00:00:00;Virginia Tech;Canada;Virginia Tech/Canada;06. Mai;205.0;5;9.0;Guard;Active;Y;1610612750;Timberwolves;MIN;timberwolves;Minnesota;nickeil_alexander-walker;2019;2024;Y;Y;Y;2019;1;17;N;nickeilalexander-walker;4687500.0
1628960;Grayson;Allen;Grayson Allen;Allen, Grayson;G. Allen;grayson-allen;1995-10-08T00:00:00;Duke;USA;Duke/USA;06. Apr;198.0;6;8.0;Guard;Active;Y;1610612756;Suns;PHX;suns;Phoenix;grayson_allen;2018;2024;Y;Y;Y;2018;1;21;N;graysonallen;8925000.0
1628386;Jarrett;Allen;Jarrett Allen;Allen, Jarrett;J. Allen;jarrett-allen;1998-04-21T00:00:00;Texas;USA;Texas/USA;06. Sep;243.0;7;31.0;Center;Active;Y;1610612739;Cavaliers;CLE;cavaliers;Cleveland;jarrett_allen;2017;2024;N;Y;Y;2017;1;22;N;jarrettallen;20000000.0
1630631;Jose;Alvarado;Jose Alvarado;Alvarado, Jose;J. Alvarado;jose-alvarado;1998-04-12T00:00:00;Georgia Tech;USA;Georgia Tech/USA;6-0;179.0;3;15.0;Guard;Active;Y;1610612740;Pelicans;NOP;pelicans;New Orleans;jose_alvarado;2021;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;josealvarado;1836096.0
203937;Kyle;Anderson;Kyle Anderson;Anderson, Kyle;K. Anderson;kyle-anderson;1993-09-20T00:00:00;UCLA;USA;UCLA/USA;06. Sep;230.0;10;20.0;Forward-Guard;Active;Y;1610612748;Heat;MIA;heat;Miami;kyle_anderson;2014;2024;Y;Y;Y;2014;1;30;N;kyleanderson;9219512.0
203507;Giannis;Antetokounmpo;Giannis Antetokounmpo;Antetokounmpo, Giannis;G. Antetokounmpo;giannis-antetokounmpo;1994-12-06T00:00:00;Filathlitikos;Greece;Filathlitikos/Greece;06. Nov;243.0;11;34.0;Forward;Active;Y;1610612749;Bucks;MIL;bucks;Milwaukee;giannis_antetokounmpo;2013;2024;N;Y;Y;2013;1;15;Y;giannisantetokounmpo;45640084.0
